,team_name,X,Y,Z,tick,steamid,name
9,TERRORIST,-1437.9569,-373.25208,11488.031,147268,76561198858681422,pepe--
0,CT,-1739.1464,215.7589,11776.031,147332,76561198350342505,nqz-
1,CT,-820.4919,-480.13336,11819.031,147332,76561198074017668,lux1-
2,CT,-1390.2229,311.43613,11776.031,147332,76561198015308884,biguzera-
3,CT,-920.2529,-478.82812,11777.031,147332,76561198385657675,kauez_
4,TERRORIST,-1387.425,-194.63605,11488.031,147332,76561198095896540,docz1n
5,TERRORIST,-1433.0854,-284.89783,11488.031,147332,76561198135228658,gafolo
6,TERRORIST,-2073.619,-519.07666,11539.226,147332,76561198307734468,rdn---
7,CT,-2467.596,724.78973,11744.031,147332,76561198377335846,snow_-_
8,TERRORIST,-2196.7075,-708.28436,11776.031,147332,76561198809462276,koaLx
9,TERRORIST,-1330.899,-150.20654,11488.031,147332,76561198858681422,pepe--
0,CT,-1792.8826,139.38242,11776.031,147396,76561198350342505,nqz-
1,CT,-676.04706,-653.65497,11776.031,147396,76561198074017668,lux1-
2,CT,-1429.1398,353.32764,11837.031,147396,76561198015308884,biguzera-
3,CT,-1054.9813,-667.0112,11776.031,147396,76561198385657675,kauez_
4,TERRORIST,-1171.2823,-100.01514,11488.031,147396,76561198095896540,docz1n
5,TERRORIST,-1269.4167,-110.90747,11488.031,147396,76561198135228658,gafolo
6,TERRORIST,-1979.0137,-447.0912,11552.031,147396,76561198307734468,rdn---
7,CT,-2532.1782,608.69574,11744.031,147396,76561198377335846,snow_-_
8,TERRORIST,-2190.1553,-719.47217,11776.031,147396,76561198809462276,koaLx
9,TERRORIST,-1102.3442,-124.5838,11488.031,147396,76561198858681422,pepe--
0,CT,-1787.8185,42.884354,11776.031,147460,76561198350342505,nqz-
1,CT,-442.78162,-735.6219,11776.031,147460,76561198074017668,lux1-
2,CT,-1491.3583,393.4345,11831.988,147460,76561198015308884,biguzera-
3,CT,-1111.2352,-731.1179,11776.031,147460,76561198385657675,kauez_
4,TERRORIST,-929.13855,-124.38257,11488.031,147460,76561198095896540,docz1n
5,TERRORIST,-1033.098,-83.69922,11488.031,147460,76561198135228658,gafolo
6,TERRORIST,-1998.2805,-283.33612,11552.031,147460,76561198307734468,rdn---
7,CT,-2531.8438,602.0313,11744.031,147460,76561198377335846,snow_-_
8,TERRORIST,-2166.133,-836.46454,11781.031,147460,76561198809462276,koaLx
9,TERRORIST,-878.12994,-219.25232,11488.031,147460,76561198858681422,pepe--
0,CT,-1725.4084,3.5960994,11776.031,147524,76561198350342505,nqz-
1,CT,-336.0833,-843.06793,11776.031,147524,76561198074017668,lux1-
2,CT,-1500.0557,324.3887,11776.031,147524,76561198015308884,biguzera-
3,CT,-1055.3417,-638.42914,11776.031,147524,76561198385657675,kauez_
4,TERRORIST,-818.81146,-266.10693,11488.031,147524,76561198095896540,docz1n
5,TERRORIST,-836.0987,-104.22095,11488.031,147524,76561198135228658,gafolo
6,TERRORIST,-1914.228,-174.0661,11552.031,147524,76561198307734468,rdn---
7,CT,-2531.8438,602.0313,11744.031,147524,76561198377335846,snow_-_
8,TERRORIST,-2190.9688,-867.06146,11778.504,147524,76561198809462276,koaLx
9,TERRORIST,-833.3545,-433.5409,11504.417,147524,76561198858681422,pepe--
0,CT,-1688.23,16.976702,11776.031,147588,76561198350342505,nqz-
1,CT,-367.4442,-963.868,11791.488,147588,76561198074017668,lux1-
